shape_id,block_ids,trip_ids
2020006,"[352273, 352272, 352283, 352289, 352268, 352266, 352267, 352287, 352284, 352281, 352293, 352288, 352290, 352282]","[3430144, 3430145, 3430146, 3430147, 3430148, 3430149, 3430150, 3430151, 3430152, 3430153, 3430154, 3430155, 3430156, 3430157, 3430158, 3430159, 3430160, 3430161, 3430162, 3430163, 3430164, 3430165, 3430166, 3430167, 3430168, 3430169, 3430170, 3430171, 3430172, 3430173, 3430174, 3430175, 3430176, 3430177, 3430178, 3430179, 3430180, 3430181, 3430182, 3430183, 3430184, 3430185, 3430186, 3430187, 3430188, 3430189, 3430190, 3430191, 3430192, 3430193, 3430194, 3430195, 3430196, 3430197, 3430198, 3430199, 3430200, 3430201, 3430227, 3430228, 3430229, 3430230, 3430231, 3430232, 3430233, 3430234, 3430235, 3430236, 3430237, 3430238]"
2030014,"[354045, 354047, 354048, 354049, 354052, 354053, 354051, 354046, 354050]","[3431187, 3431188, 3431189, 3431190, 3431191, 3431192, 3431193, 3431194, 3431195, 3431196, 3431197, 3431221, 3431222, 3431223, 3431224, 3431225, 3431226, 3431227, 3431228, 3431229, 3431233, 3431256, 3431257, 3431258]"
2030012,"[354053, 354046, 354045, 354031, 354047, 354048, 354051]","[3431198, 3431199, 3431200, 3431201, 3431202, 3431203, 3431204, 3431205, 3431206, 3431235]"
2030015,"[354046, 354045, 354047, 354048, 354049, 354051, 354052, 354050, 354053]","[3431207, 3431208, 3431209, 3431210, 3431211, 3431212, 3431213, 3431238, 3431239, 3431240, 3431241, 3431242, 3431243, 3431244, 3431245, 3431246, 3431247, 3431248, 3431249, 3431250, 3431251, 3431252, 3431253, 3431254]"
2030013,"[354046, 354045, 354031, 354047, 354048, 354051, 354053]","[3431214, 3431215, 3431216, 3431217, 3431218, 3431219, 3431220, 3431232, 3431234, 3431236]"
2040011,"[352271, 352466, 352274, 352277, 352269, 352275, 352270, 352265, 352276, 352292, 352278, 352279, 352389]","[3433016, 3433017, 3433018, 3433019, 3433020, 3433021, 3433022, 3433023, 3433024, 3433025, 3433026, 3433027, 3433028, 3433029, 3433030, 3433031, 3433032, 3433033, 3433034, 3433035, 3433036, 3433037, 3433038, 3433039, 3433040, 3433041, 3433042, 3433043, 3433044, 3433045, 3433046, 3433047, 3433048, 3433049, 3433050, 3433051, 3433052, 3433053, 3433054, 3433055, 3433056, 3433057, 3433058, 3433059, 3433060, 3433061, 3433062, 3433063, 3433064, 3433065, 3433066, 3433067, 3433127, 3433128, 3433129, 3433130, 3433131, 3433132, 3433134, 3433135]"
2040012,"[352274, 352269, 352275, 352270, 352265, 352271, 352276, 352292, 352466, 352278, 352277, 352279]","[3433068, 3433069, 3433070, 3433071, 3433072, 3433073, 3433074, 3433075, 3433076, 3433077, 3433078, 3433079, 3433080, 3433081, 3433082, 3433083, 3433084, 3433085, 3433086, 3433087, 3433088, 3433089, 3433090, 3433091, 3433092, 3433093, 3433094, 3433095, 3433096, 3433097, 3433098, 3433099, 3433100, 3433101, 3433102, 3433103, 3433104, 3433105, 3433106, 3433107, 3433108, 3433109, 3433110, 3433111, 3433112, 3433113, 3433114, 3433115, 3433116, 3433117, 3433118, 3433119, 3433120, 3433121, 3433122, 3433123, 3433124, 3433125, 3433126, 3433133]"
2040007,[352278],[3433136]
2050007,"[352466, 352274, 352269, 352275, 352270, 352265, 352271, 352276, 352292, 352278, 352277, 352279, 352309]","[3432895, 3432896, 3432897, 3432898, 3432899, 3432906, 3432907, 3432908, 3432909, 3432910, 3432911, 3432912, 3432913, 3432914, 3432915, 3432916, 3432917, 3432918, 3432919, 3432920, 3432921, 3432922, 3432923, 3432924, 3432925, 3432926, 3432927, 3432928, 3432929, 3432930, 3432931, 3432932, 3432933, 3432934, 3432935, 3432936, 3432937, 3432938, 3432939, 3432940, 3432941, 3432942, 3432943, 3432944, 3432945, 3432946, 3432947, 3432948, 3432949, 3432950, 3432951, 3432952, 3432953, 3432954, 3432955, 3432956, 3433004, 3433005, 3433012, 3433013]"
2050016,"[352292, 352269, 352275, 352270, 352265, 352278, 352271, 352276, 352466, 352274, 352277, 352279]","[3432900, 3432901, 3432902, 3432903, 3432904, 3432905, 3432957, 3432958, 3432959, 3432960, 3432961, 3432962, 3432963, 3432964, 3432965, 3432966, 3432967, 3432968, 3432969, 3432970, 3432971, 3432972, 3432973, 3432974, 3432975, 3432976, 3432977, 3432978, 3432979, 3432980, 3432981, 3432982, 3432983, 3432984, 3432985, 3432986, 3432987, 3432988, 3432989, 3432990, 3432991, 3432992, 3432993, 3432994, 3432995, 3432996, 3432997, 3432998, 3432999, 3433000, 3433001, 3433002, 3433003, 3433006, 3433007, 3433008, 3433009, 3433011]"
