shape_id,block_ids,trip_ids
3020006,"[354169, 354177, 354171, 354174, 354176, 354170, 354173, 354175, 354172]","[3439273, 3439274, 3439275, 3439276, 3439277, 3439278, 3439279, 3439280, 3439281, 3439282, 3439283, 3439284, 3439285, 3439286, 3439287, 3439288, 3439289, 3439290, 3439291, 3439292, 3439293, 3439294, 3439295, 3439296, 3439297, 3439298, 3439299, 3439300, 3439301, 3439302, 3439303, 3439304, 3439305, 3439306, 3439307, 3439308, 3439309, 3439310, 3439311, 3439312, 3439313, 3439314, 3439368, 3439375, 3439376, 3439377, 3439378, 3439379, 3439380, 3439381, 3439382, 3439383, 3439384, 3439385, 3439386]"
3020007,"[354174, 354176, 354169, 354177, 354171, 354170, 354173, 354175, 354172]","[3439315, 3439316, 3439317, 3439318, 3439319, 3439320, 3439321, 3439322, 3439323, 3439324, 3439325, 3439326, 3439327, 3439328, 3439329, 3439330, 3439331, 3439332, 3439333, 3439334, 3439335, 3439336, 3439337, 3439338, 3439339, 3439340, 3439341, 3439342, 3439343, 3439344, 3439345, 3439346, 3439347, 3439348, 3439349, 3439350, 3439351, 3439352, 3439353, 3439354, 3439355, 3439356, 3439357, 3439358, 3439359, 3439360, 3439361, 3439362, 3439363, 3439364, 3439365, 3439366, 3439367, 3439369, 3439370, 3439371, 3439372]"
3020013,"[354169, 354175]","[3439373, 3439374]"
300002,"[352952, 352962, 352953, 352951, 352954, 352955, 352956]","[3440505, 3440506, 3440507, 3440508, 3440509, 3440510, 3440511, 3440512, 3440513, 3440514, 3440515, 3440516, 3440517, 3440518, 3440519, 3440520, 3440521, 3440522, 3440523, 3440524, 3440525, 3440526, 3440527, 3440528, 3440529, 3440530, 3440531, 3440532, 3440533, 3440534, 3440535, 3440536]"
310005,"[352991, 352993, 352995, 352992, 352994, 352996, 352997, 352990]","[3438994, 3438995, 3438996, 3438997, 3438998, 3438999, 3439000, 3439001, 3439002, 3439003, 3439004, 3439005, 3439006, 3439007, 3439008, 3439009, 3439010, 3439011, 3439012, 3439013, 3439014, 3439015, 3439016]"
310004,"[352990, 352991, 352993, 352995, 352992, 352994, 352996, 352997]","[3439017, 3439018, 3439019, 3439020, 3439021, 3439022, 3439023, 3439024, 3439025, 3439026, 3439027, 3439028, 3439029, 3439030, 3439031, 3439032, 3439033, 3439034, 3439035, 3439036, 3439037, 3439038]"
330012,"[352987, 352989, 352988]","[3438811, 3438812, 3438813, 3438814, 3438815, 3438816, 3438817, 3438818, 3438819, 3438820, 3438821, 3438822, 3438823, 3438824, 3438825, 3438826, 3438827, 3438828, 3438829, 3438830, 3438831, 3438832, 3438833]"
330013,"[352988, 352987, 352989]","[3438834, 3438835, 3438836, 3438837, 3438838, 3438839, 3438840, 3438841, 3438842, 3438843, 3438844, 3438845, 3438846, 3438847, 3438848, 3438849, 3438850, 3438851, 3438852, 3438853, 3438854, 3438855, 3438856]"
360003,"[352913, 352912, 352914]","[3441791, 3441792, 3441793, 3441794, 3441795, 3441796, 3441797, 3441798, 3441799, 3441800, 3441801, 3441802, 3441803, 3441804, 3441805, 3441806, 3441807, 3441808, 3441809, 3441810, 3441811, 3441812]"
360013,"[352913, 352912, 352914]","[3441813, 3441814, 3441815, 3441816, 3441817, 3441818, 3441819, 3441820, 3441821, 3441822, 3441823, 3441824, 3441825, 3441826, 3441827, 3441828, 3441829, 3441830, 3441831, 3441832, 3441833, 3441834]"
30005,"[352919, 352924, 352933, 352929]","[3440537, 3440538, 3440539, 3440540, 3440541, 3440542, 3440543, 3440544, 3440545, 3440546, 3440547, 3440548, 3440549, 3440550, 3440551, 3440552, 3440553, 3440554, 3440555, 3440556, 3440557, 3440578, 3440585, 3440586, 3440587, 3440588]"
30009,"[352924, 352919, 352929, 352933]","[3440558, 3440559, 3440560, 3440561, 3440562, 3440563, 3440564, 3440565, 3440566, 3440567, 3440568, 3440569, 3440570, 3440571, 3440572, 3440573, 3440574, 3440575, 3440576, 3440577, 3440579, 3440580, 3440581, 3440582, 3440583, 3440584]"
40008,"[352919, 352924, 352933, 352929]","[3440453, 3440454, 3440455, 3440456, 3440457, 3440458, 3440459, 3440460, 3440461, 3440462, 3440463, 3440464, 3440465, 3440466, 3440467, 3440468, 3440469, 3440470, 3440471, 3440472, 3440473, 3440474, 3440475, 3440502, 3440503, 3440504]"
40011,"[352924, 352919, 352929, 352933]","[3440476, 3440477, 3440478, 3440479, 3440480, 3440481, 3440482, 3440483, 3440484, 3440485, 3440486, 3440487, 3440488, 3440489, 3440490, 3440491, 3440492, 3440493, 3440494, 3440495, 3440496, 3440497, 3440498, 3440499, 3440500, 3440501]"
500009,"[352980, 352979]","[3441835, 3441836, 3441837, 3441838, 3441839, 3441840, 3441841, 3441842, 3441843, 3441844, 3441845, 3441846, 3441847, 3441848, 3441849, 3441850, 3441851, 3441852, 3441853, 3441854, 3441855]"
500006,"[352980, 352979]","[3441856, 3441857, 3441858, 3441859, 3441860, 3441861, 3441862, 3441863, 3441864, 3441865, 3441866, 3441867, 3441868, 3441869, 3441870, 3441871, 3441872, 3441873, 3441874, 3441875]"
510017,"[352908, 352909, 352972]","[3439039, 3439040, 3439041, 3439042, 3439054, 3439055, 3439056, 3439057, 3439058, 3439059, 3439060, 3439061, 3439062, 3439070, 3439072]"
510011,"[352909, 352908, 352972]","[3439043, 3439044, 3439045, 3439046, 3439047, 3439048, 3439049, 3439050, 3439051, 3439052, 3439053, 3439071, 3439075, 3439076, 3439077, 3439078]"
510014,"[352908, 352909, 352972]","[3439063, 3439064, 3439065, 3439066, 3439067, 3439068, 3439069, 3439073, 3439088, 3439089, 3439097, 3439098, 3439099, 3439100, 3439101, 3439102]"
510027,[352908],[3439074]
510010,"[352972, 352908, 352909]","[3439079, 3439080, 3439081, 3439082, 3439083, 3439084, 3439085, 3439086, 3439087, 3439090, 3439091, 3439092, 3439093, 3439094, 3439095, 3439096]"
530004,"[352973, 352975]","[3441631, 3441632, 3441633, 3441634, 3441635, 3441636, 3441637, 3441638, 3441639, 3441640, 3441641, 3441642, 3441643, 3441644, 3441645, 3441646, 3441647, 3441648, 3441649, 3441650, 3441651, 3441652, 3441653, 3441677]"
530005,"[352974, 352978]","[3441654, 3441655, 3441656, 3441657, 3441658, 3441659, 3441660, 3441661, 3441662, 3441663, 3441664, 3441665, 3441666, 3441667, 3441668, 3441669, 3441670, 3441671, 3441672, 3441673, 3441674, 3441675, 3441676]"
550009,[352981],"[3439241, 3439242, 3439243, 3439244, 3439245, 3439246, 3439247, 3439248, 3439249, 3439250, 3439251, 3439252, 3439253, 3439254, 3439255, 3439271]"
550003,[352981],"[3439256, 3439257, 3439258, 3439259, 3439260, 3439261, 3439262, 3439263, 3439264, 3439265, 3439266, 3439267, 3439268, 3439269, 3439270, 3439272]"
560011,"[352976, 352977, 352978, 352910, 352911, 352982, 355481]","[3439747, 3439748, 3439749, 3439750, 3439751, 3439752, 3439753, 3439754, 3439755, 3439756, 3439757, 3439758, 3439759, 3439760, 3439761, 3439762, 3439763, 3439764, 3439765, 3439766, 3439767, 3439768, 3439769, 3439770, 3439771, 3439772, 3439773]"
560012,"[352976, 352977, 352978, 352910, 352911, 352982, 355481]","[3439774, 3439775, 3439776, 3439777, 3439778, 3439779, 3439780, 3439781, 3439782, 3439783, 3439784, 3439785, 3439786, 3439787, 3439788, 3439789, 3439790, 3439791, 3439792, 3439793, 3439794, 3439795, 3439796, 3439797, 3439798, 3439799, 3439800]"
580010,"[352973, 352975]","[3439557, 3439558, 3439560, 3439561, 3439562, 3439563, 3439564, 3439565, 3439566, 3439567, 3439568, 3439569, 3439570, 3439571, 3439572, 3439573, 3439574, 3439575, 3439576, 3439577, 3439578, 3439579, 3439580]"
580008,"[352974, 352978]","[3439559, 3439581, 3439582, 3439583, 3439584, 3439585, 3439586, 3439587, 3439588, 3439589, 3439590, 3439591, 3439592, 3439593, 3439594, 3439595, 3439596, 3439597, 3439598, 3439599, 3439600, 3439601, 3439602]"
50014,[352938],"[3440429, 3440430, 3440431, 3440432, 3440433, 3440434, 3440435, 3440436, 3440437, 3440438, 3440439, 3440440]"
50015,[352938],"[3440441, 3440442, 3440443, 3440444, 3440445, 3440446, 3440447, 3440448, 3440449, 3440450, 3440451]"
610004,"[352914, 352912, 352913]","[3439944, 3439945, 3439946, 3439947, 3439948, 3439949, 3439958, 3439959, 3439960, 3439961, 3439962, 3439963, 3439964, 3439965, 3439966, 3439967, 3439968, 3439969, 3439970, 3439971, 3439972, 3439973, 3439974, 3439975, 3439976, 3439977, 3439978, 3439979, 3439980]"
610002,"[352914, 352912, 352913]","[3439950, 3439951, 3439952, 3439953, 3439954, 3439955, 3439956, 3439957]"
610028,"[352912, 352914, 352913]","[3439981, 3439982, 3439983, 3439984, 3439985, 3439986, 3439987, 3439988, 3439989, 3439990, 3439991, 3439992, 3439993, 3439994, 3439995, 3439996, 3439997, 3439998, 3439999, 3440000, 3440001]"
630005,[352981],"[3439436, 3439437, 3439438, 3439439, 3439440, 3439441, 3439442, 3439443, 3439444, 3439445, 3439446, 3439447, 3439448, 3439449, 3439450]"
630002,[352981],"[3439451, 3439452, 3439453, 3439454, 3439455, 3439456, 3439457, 3439458, 3439459, 3439460, 3439461, 3439462, 3439463, 3439464, 3439465]"
650019,"[352976, 352977, 352910, 352911, 352982, 355481]","[3439387, 3439388, 3439392, 3439393, 3439394, 3439395, 3439396, 3439397, 3439398, 3439399, 3439400, 3439401, 3439402, 3439403, 3439404, 3439405, 3439406, 3439407, 3439408, 3439431, 3439432, 3439433, 3439434, 3439435]"
650002,"[352977, 352976, 352910, 352911, 352982, 355481]","[3439389, 3439390, 3439391, 3439409, 3439410, 3439411, 3439412, 3439413, 3439414, 3439415, 3439416, 3439417, 3439418, 3439419, 3439420, 3439421, 3439422, 3439423, 3439424, 3439425, 3439426, 3439427, 3439428, 3439429, 3439430]"
60019,"[352943, 352940, 352998, 352942, 352939]","[3440363, 3440364, 3440365, 3440366, 3440367, 3440368, 3440369, 3440370, 3440371, 3440372, 3440373, 3440374, 3440375, 3440376, 3440377, 3440378, 3440379, 3440380, 3440381, 3440382, 3440383, 3440384, 3440385, 3440386, 3440387, 3440388, 3440389, 3440390, 3440391, 3440392, 3440393, 3440394, 3440395]"
60020,"[352939, 352943, 352940, 352998, 352942]","[3440396, 3440397, 3440398, 3440399, 3440400, 3440401, 3440402, 3440403, 3440404, 3440405, 3440406, 3440407, 3440408, 3440409, 3440410, 3440411, 3440412, 3440413, 3440414, 3440415, 3440416, 3440417, 3440418, 3440419, 3440420, 3440421, 3440422, 3440423, 3440424, 3440425, 3440426, 3440427]"
60013,[352942],[3440428]
70001,"[352944, 352945, 352946, 352947, 352948, 352950, 352949]","[3440238, 3440239, 3440240, 3440241, 3440242, 3440243, 3440244, 3440245, 3440246, 3440247, 3440248, 3440249, 3440250, 3440251, 3440252, 3440253, 3440254, 3440255, 3440256, 3440257, 3440258, 3440259, 3440260, 3440261, 3440262, 3440263, 3440264, 3440265, 3440266, 3440267, 3440268, 3440269, 3440270, 3440271, 3440272, 3440273, 3440274, 3440275, 3440276, 3440277, 3440278, 3440279, 3440280, 3440281, 3440282, 3440283, 3440284, 3440285, 3440286, 3440287, 3440288, 3440289, 3440290, 3440291, 3440292, 3440293, 3440294, 3440295, 3440296, 3440354, 3440355, 3440356]"
70019,"[352948, 352947, 352949, 352946, 352944, 352945, 352950]","[3440297, 3440298, 3440299, 3440300, 3440301, 3440302, 3440303, 3440304, 3440305, 3440306, 3440307, 3440308, 3440309, 3440310, 3440311, 3440312, 3440313, 3440314, 3440315, 3440316, 3440317, 3440318, 3440319, 3440320, 3440321, 3440322, 3440323, 3440324, 3440325, 3440326, 3440327, 3440328, 3440329, 3440330, 3440331, 3440332, 3440333, 3440334, 3440335, 3440336, 3440337, 3440338, 3440339, 3440340, 3440341, 3440342, 3440343, 3440344, 3440345, 3440346, 3440347, 3440348, 3440349, 3440350, 3440351, 3440352, 3440353, 3440357, 3440358, 3440359, 3440362]"
70020,[352950],[3440360]
70004,[352945],[3440361]
80008,"[352932, 352935, 352915, 352917, 352930, 352934]","[3440170, 3440171, 3440172, 3440173, 3440174, 3440175, 3440176, 3440177, 3440178, 3440179, 3440180, 3440181, 3440182, 3440183, 3440184, 3440185, 3440186, 3440187, 3440188, 3440189, 3440190, 3440191, 3440192, 3440193, 3440194, 3440195, 3440196, 3440197, 3440198, 3440199, 3440200, 3440201, 3440202]"
80020,"[352930, 352934, 352932, 352935, 352915, 352917]","[3440203, 3440204, 3440205, 3440206, 3440207, 3440208, 3440209, 3440210, 3440211, 3440212, 3440213, 3440214, 3440215, 3440216, 3440217, 3440218, 3440219, 3440220, 3440221, 3440222, 3440223, 3440224, 3440225, 3440226, 3440227, 3440228, 3440229, 3440230, 3440231, 3440232, 3440233, 3440234, 3440235, 3440236]"
80011,[352930],[3440237]
90006,"[352956, 352955, 352954, 352953, 352952, 352951]","[3440105, 3440137, 3440138, 3440139, 3440140, 3440141, 3440142, 3440143, 3440144, 3440145, 3440146, 3440147, 3440148, 3440149, 3440150, 3440151, 3440152, 3440153, 3440154, 3440155, 3440156, 3440157, 3440158, 3440159, 3440160, 3440161, 3440162, 3440163, 3440164, 3440165, 3440166, 3440167, 3440168]"
90005,"[352962, 352953, 352952, 352951, 352954, 352955, 352956, 352961]","[3440106, 3440107, 3440108, 3440109, 3440110, 3440111, 3440112, 3440113, 3440114, 3440115, 3440116, 3440117, 3440118, 3440119, 3440120, 3440121, 3440122, 3440123, 3440124, 3440125, 3440126, 3440127, 3440128, 3440129, 3440130, 3440131, 3440132, 3440133, 3440134, 3440135, 3440136, 3440169]"
